,Neighborhood,Zip Code,Latitude,Longitude
Queens,Arverne,11692,40.5926,-73.791
Queens,Astoria,11102,40.772,-73.9301
Queens,Auburndale,11358,40.7619,-73.789
Queens,Bayside,11360,40.7834,-73.776
Queens,Bayswater,11691,40.6068,-73.7664
Queens,Bay Terrace,11360,40.7826,-73.7808
Queens,Beechhurst,11357,40.7941,-73.8085
Queens,Belle Harbor,11694,40.5761,-73.8545
Queens,Bellerose,11426,40.725,-73.7177
Queens,Breezy Point,11697,40.5579,-73.9256
Queens,Briarwood,11435,40.7105,-73.8117
Queens,Broad Channel,11693,40.603,-73.8201
Queens,Brookville,11413,40.6591,-73.7389
Queens,Cambria Heights,11411,40.6922,-73.7351
Queens,Clearview,11362,40.7754,-73.7369
Queens,College Point,11356,40.7875,-73.8454
Queens,Corona,11368,40.7449,-73.8648
Queens,Ditmars-Steinway,11105,40.7765,-73.9068
Queens,Douglaston,11362,40.7687,-73.7479
Queens,East Elmhurst,11369,40.7633,-73.8719
Queens,East Flushing,11355,40.7512,-73.8198
Queens,Edgemere,11691,40.5943,-73.7772
Queens,Elmhurst,11373,40.7377,-73.8808
Queens,Far Rockaway,11691,40.6091,-73.7503
Queens,Floral Park,11001,40.7252,-73.7038
Queens,Flushing,11354,40.7645,-73.831
Queens,Forest Hills,11375,40.7198,-73.8448
Queens,Fresh Meadows,11365,40.7348,-73.7949
Queens,Glendale,11385,40.7026,-73.881
Queens,Glen Oaks,11004,40.7463,-73.7114
Queens,Hamilton Beach,11414,40.6553,-73.8288
Queens,Hammels,11693,40.5884,-73.8055
Queens,Hillcrest,11366,40.7216,-73.7967
Queens,Hollis,11423,40.7113,-73.7672
Queens,Howard Beach,11414,40.657,-73.8384
Queens,Hunters Point,11101,40.7445,-73.9567
Queens,Jackson Heights,11372,40.7557,-73.8831
Queens,Jamaica,11432,40.7159,-73.793
Queens,Jamaica Estates,11432,40.717,-73.7826
Queens,Jamaica Hills,11432,40.7114,-73.7919
Queens,Kew Gardens,11415,40.7097,-73.8309
Queens,Kew Gardens Hills,11367,40.7334,-73.8168
Queens,Laurelton,11413,40.6752,-73.7467
Queens,Long Island City (LIC),11101,40.7447,-73.9485
Queens,Malba,11357,40.7909,-73.827
Queens,Maspeth,11378,40.7294,-73.9066
Queens,Middle Village,11379,40.7174,-73.8742
Queens,Murray Hill (Queens),11354,40.7651,-73.817
Queens,Neponsit,11694,40.5708,-73.8614
Queens,New Hyde Park,11040,40.731,-73.6848
Queens,North Corona,11368,40.7554,-73.8625
Queens,Oakland Gardens,11364,40.7535,-73.7586
Queens,Old Howard Beach,11414,40.6577,-73.8458
Queens,Ozone Park,11416,40.6768,-73.849
Queens,Pomonok,11367,40.7349,-73.8145
Queens,Queens Village,11427,40.7174,-73.738
Queens,Ramblersville,11694,40.583,-73.825
Queens,Rego Park,11374,40.7256,-73.8625
Queens,Richmond Hill,11418,40.6994,-73.8331
Queens,Ridgewood,11385,40.7084,-73.9018
Queens,Rockaway All,11691,40.6031,-73.7614
Queens,Rockaway Park,11694,40.5805,-73.8365
Queens,Rockwood Park,11414,40.6632,-73.8411
Queens,Rosedale,11422,40.6666,-73.7382
Queens,South Jamaica,11434,40.6816,-73.788
Queens,South Ozone Park,11420,40.6765,-73.8195
Queens,South Richmond Hill,11419,40.6871,-73.8179
Queens,Springfield Gardens,11413,40.6775,-73.746
Queens,St. Albans,11412,40.6945,-73.7588
Queens,Sunnyside,11104,40.7433,-73.9192
Queens,Utopia,11366,40.7326,-73.7887
Queens,Whitestone,11357,40.792,-73.8096
Queens,Woodhaven,11421,40.6893,-73.857
Queens,Woodside,11377,40.7454,-73.9051
Brooklyn,Albemarle,11226,40.6454,-73.9728
Brooklyn,Bath Beach,11214,40.5995,-74.0026
Brooklyn,Bay Ridge,11209,40.6237,-74.0287
Brooklyn,Bedford-Stuyvesant,11205,40.6903,-73.9542
Brooklyn,Bensonhurst,11204,40.611,-73.9975
Brooklyn,Bergen Beach,11234,40.6165,-73.9031
Brooklyn,Boerum Hill,11201,40.6837,-73.984
Brooklyn,Borough Park,11219,40.6331,-73.9965
Brooklyn,Brighton Beach,11235,40.5774,-73.9615
Brooklyn,Brooklyn Heights,11201,40.6957,-73.995
Brooklyn,Brooklyn Navy Yard,11205,40.7005,-73.9707
Brooklyn,Brownsville,11212,40.6631,-73.9095
Brooklyn,Bushwick,11206,40.6995,-73.9375
Brooklyn,Canarsie,11236,40.6511,-73.8826
Brooklyn,Carroll Gardens,11231,40.6795,-73.9993
Brooklyn,City Line,11207,40.6782,-73.8793
Brooklyn,Clinton Hill,11205,40.6894,-73.9632
Brooklyn,Cobble Hill,11201,40.6865,-73.9965
Brooklyn,Columbia Street Waterfront,11231,40.6874,-74.0035
Brooklyn,Coney Island,11224,40.5749,-73.9855
Brooklyn,Crown Heights,11213,40.6681,-73.9448
Brooklyn,Cypress Hills,11208,40.6832,-73.8726
Brooklyn,Dahill,11218,40.6379,-73.9735
Brooklyn,Downtown Brooklyn,11201,40.6969,-73.9884
Brooklyn,DUMBO,11201,40.7033,-73.988
Brooklyn,Dyker Beach Park,11228,40.6024,-74.0156
Brooklyn,Dyker Heights,11228,40.6212,-74.0143
Brooklyn,East Flatbush,11203,40.6537,-73.9304
Brooklyn,East New York,11207,40.6668,-73.8824
Brooklyn,East Williamsburg,11211,40.7144,-73.9368
Brooklyn,Erasmus,11203,40.6466,-73.948
Brooklyn,Farragut,11210,40.6237,-73.9447
Brooklyn,Flatbush,11226,40.6409,-73.9624
Brooklyn,Flatlands,11234,40.6212,-73.9371
Brooklyn,Fort Greene,11205,40.6886,-73.9761
Brooklyn,Fort Hamilton,11209,40.6163,-74.0315
Brooklyn,Georgetown,11230,40.6155,-73.9548
Brooklyn,Gerritsen Beach,11229,40.591,-73.9227
Brooklyn,Gowanus,11217,40.6739,-73.9907
Brooklyn,Gravesend,11223,40.5912,-73.9826
Brooklyn,Greenpoint,11222,40.7245,-73.9419
Brooklyn,Greenwood Cemetery,11232,40.6527,-73.9944
Brooklyn,Greenwood Heights,11232,40.6527,-73.9944
Brooklyn,Highland Park,11207,40.6819,-73.8908
Brooklyn,Homecrest,11229,40.5963,-73.9584
Brooklyn,Kensington,11218,40.6376,-73.9743
Brooklyn,Los Sures - Southside,11211,40.7102,-73.9533
Brooklyn,Manhattan Beach,11235,40.5781,-73.9388
Brooklyn,Madison,11229,40.6057,-73.9473
Brooklyn,Mapleton,11204,40.6122,-73.9788
Brooklyn,Marine Park,11234,40.6101,-73.933
Brooklyn,Midwood,11230,40.6191,-73.9654
Brooklyn,Midwood Park,11210,40.6224,-73.9556
Brooklyn,Mill Basin,11234,40.6113,-73.9106
Brooklyn,New Lots,11208,40.6654,-73.8757
Brooklyn,Northside,11211,40.7174,-73.9597
Brooklyn,Ocean Hill,11233,40.6777,-73.9105
Brooklyn,Paedergat,11236,40.6344,-73.9137
Brooklyn,Park Slope,11215,40.6729,-73.9779
Brooklyn,Parkville,11204,40.6226,-73.9746
Brooklyn,Prospect Heights,11238,40.6779,-73.9667
Brooklyn,Prospect-Lefferts Gardens,11225,40.659,-73.9525
Brooklyn,Prospect Park,11215,40.6602,-73.9689
Brooklyn,Prospect Park South,11226,40.6454,-73.9718
Brooklyn,Red Hook,11231,40.6763,-74.012
Brooklyn,Remsen Village,11236,40.6452,-73.9144
Brooklyn,Seagate,11224,40.5764,-74.0055
Brooklyn,Sheepshead Bay,11235,40.5863,-73.9438
Brooklyn,South Slope,11215,40.6601,-73.9891
Brooklyn,South Williamsburg,11211,40.7084,-73.9632
Brooklyn,Starrett City,11239,40.649,-73.8801
Brooklyn,Stuyvesant Heights,11221,40.6835,-73.934
Brooklyn,Sunset Park,11220,40.6451,-74.012
Brooklyn,Victorian Flatbush,11226,40.6387,-73.9688
Brooklyn,Vinegar Hill,11201,40.7038,-73.9821
Brooklyn,Williamsburg,11211,40.7146,-73.9513
Brooklyn,Windsor Terrace,11215,40.6556,-73.9756
Brooklyn,Wingate,11203,40.6581,-73.937
Bronx,Allerton,10467,40.8658,-73.8623
Bronx,Baychester,10469,40.8743,-73.835
Bronx,Bedford Park,10458,40.8739,-73.8906
Bronx,Belmont,10458,40.854,-73.888
Bronx,Bronx Park,10462,40.8456,-73.8608
Bronx,Bronx River,10473,40.8196,-73.855
Bronx,Bronxwood,10469,40.8765,-73.8572
Bronx,Castle Hill,10473,40.819,-73.85
Bronx,City Island,10464,40.843,-73.788
